Date,Product,Units_Sold,Revenue
2023-02-27,Product B,18,630
2023-02-28,Product A,24,720
2023-02-28,Product B,21,735
2023-03-01,Product A,19,570
2023-03-01,Product B,26,910
2023-03-02,Product A,20,600
2023-03-02,Product B,15,525
2023-03-03,Product A,25,750
2023-03-03,Product B,30,1050
2023-03-04,Product A,15,450
2023-03-04,Product B,18,630
2023-03-05,Product A,26,780
2023-03-05,Product B,24,840
2023-03-06,Product A,22,660
2023-03-06,Product B,16,560
2023-03-07,Product A,22,660
2023-03-07,Product B,17,595
2023-03-08,Product A,17,510
2023-03-08,Product B,30,1050
2023-03-09,Product A,17,510
2023-03-09,Product B,19,665
2023-03-10,Product A,19,570
2023-03-10,Product B,30,1050
2023-03-11,Product A,20,600
2023-03-11,Product B,23,805
2023-03-12,Product A,28,840
2023-03-12,Product B,21,735
2023-03-13,Product A,21,630
2023-03-13,Product B,24,840
2023-03-14,Product A,27,810
2023-03-14,Product B,26,910
2023-03-15,Product A,29,870
2023-03-15,Product B,29,1015
2023-03-16,Product A,18,540
2023-03-16,Product B,22,770
2023-03-17,Product A,22,660
2023-03-17,Product B,17,595
2023-03-18,Product A,25,750
2023-03-18,Product B,15,525
2023-03-19,Product A,22,660
2023-03-19,Product B,22,770
2023-03-20,Product A,15,450
2023-03-20,Product B,17,595
2023-03-21,Product A,16,480
2023-03-21,Product B,22,770
2023-03-22,Product A,17,510
2023-03-22,Product B,16,560
2023-03-23,Product A,25,750
2023-03-23,Product B,17,595
2023-03-24,Product A,22,660
2023-03-24,Product B,23,805
2023-03-25,Product A,30,900
2023-03-25,Product B,21,735
2023-03-26,Product A,19,570
2023-03-26,Product B,30,1050
2023-03-27,Product A,22,660
2023-03-27,Product B,30,1050
2023-03-28,Product A,28,840
2023-03-28,Product B,21,735
2023-03-29,Product A,18,540
2023-03-29,Product B,18,630
2023-03-30,Product A,28,840
2023-03-30,Product B,26,910
2023-03-31,Product A,28,840
2023-03-31,Product B,28,980
2023-04-01,Product A,29,870
2023-04-01,Product B,16,560
2023-04-02,Product A,18,540
2023-04-02,Product B,16,560
2023-04-03,Product A,27,810
2023-04-03,Product B,25,875
2023-04-04,Product A,18,540
2023-04-04,Product B,22,770
2023-04-05,Product A,21,630
2023-04-05,Product B,21,735
2023-04-06,Product A,29,870
2023-04-06,Product B,19,665
2023-04-07,Product A,28,840
2023-04-07,Product B,20,700
2023-04-08,Product A,23,690
2023-04-08,Product B,29,1015
2023-04-09,Product A,22,660
2023-04-09,Product B,17,595
2023-04-10,Product A,29,870
2023-04-10,Product B,18,630
2023-04-11,Product A,16,480
2023-04-11,Product B,15,525
2023-04-12,Product A,17,510
2023-04-12,Product B,22,770
2023-04-13,Product A,20,600
2023-04-13,Product B,28,980
2023-04-14,Product A,30,900
2023-04-14,Product B,30,1050
2023-04-15,Product A,21,630
2023-04-15,Product B,27,945
2023-04-16,Product A,16,480
2023-04-16,Product B,20,700
2023-04-17,Product A,27,810
2023-04-17,Product B,15,525
2023-04-18,Product A,27,810
2023-04-18,Product B,23,805
2023-04-19,Product A,29,870
2023-04-19,Product B,24,840
2023-04-20,Product A,28,840
2023-04-20,Product B,30,1050
2023-04-21,Product A,19,570
2023-04-21,Product B,21,735
2023-04-22,Product A,24,720
2023-04-22,Product B,21,735
2023-04-23,Product A,16,480
2023-04-23,Product B,16,560
2023-04-24,Product A,25,750
2023-04-24,Product B,16,560
2023-04-25,Product A,16,480
2023-04-25,Product B,30,1050
2023-04-26,Product A,20,600
2023-04-26,Product B,16,560
2023-04-27,Product A,17,510
2023-04-27,Product B,20,700
2023-04-28,Product A,17,510
2023-04-28,Product B,17,595
2023-04-29,Product A,22,660
2023-04-29,Product B,27,945
2023-04-30,Product A,18,540
2023-04-30,Product B,22,770
2023-05-01,Product A,16,480
2023-05-01,Product B,17,595
2023-05-02,Product A,28,840
2023-05-02,Product B,25,875
2023-05-03,Product A,23,690
2023-05-03,Product B,21,735
2023-05-04,Product A,25,750
2023-05-04,Product B,22,770
2023-05-05,Product A,23,690
2023-05-05,Product B,27,945
2023-05-06,Product A,19,570
2023-05-06,Product B,24,840
2023-05-07,Product A,29,870
2023-05-07,Product B,25,875
2023-05-08,Product A,17,510
2023-05-08,Product B,15,525
2023-05-09,Product A,29,870
2023-05-09,Product B,18,630
2023-05-10,Product A,17,510
2023-05-10,Product B,21,735
2023-05-11,Product A,23,690
2023-05-11,Product B,19,665
2023-05-12,Product A,26,780
2023-05-12,Product B,17,595
2023-05-13,Product A,22,660
2023-05-13,Product B,26,910
2023-05-14,Product A,24,720
2023-05-14,Product B,20,700
2023-05-15,Product A,29,870
2023-05-15,Product B,24,840
2023-05-16,Product A,15,450
2023-05-16,Product B,24,840
2023-05-17,Product A,18,540
2023-05-17,Product B,19,665
2023-05-18,Product A,23,690
2023-05-18,Product B,18,630
2023-05-19,Product A,18,540
2023-05-19,Product B,19,665
2023-05-20,Product A,23,690
2023-05-20,Product B,24,840
2023-05-21,Product A,21,630
2023-05-21,Product B,25,875
2023-05-22,Product A,21,630
2023-05-22,Product B,23,805
2023-05-23,Product A,30,900
2023-05-23,Product B,23,805
2023-05-24,Product A,16,480
2023-05-24,Product B,17,595
2023-05-25,Product A,28,840
2023-05-25,Product B,23,805
2023-05-26,Product A,16,480
2023-05-26,Product B,15,525
2023-05-27,Product A,25,750
2023-05-27,Product B,19,665
2023-05-28,Product A,23,690
2023-05-28,Product B,20,700
2023-05-29,Product A,29,870
2023-05-29,Product B,28,980
2023-05-30,Product A,15,450
2023-05-30,Product B,18,630
2023-05-31,Product A,17,510
2023-05-31,Product B,19,665
2023-06-01,Product A,16,480
2023-06-01,Product B,26,910
2023-06-02,Product A,19,570
2023-06-02,Product B,28,980
2023-06-03,Product A,19,570
2023-06-03,Product B,16,560
2023-06-04,Product A,24,720
2023-06-04,Product B,26,910
2023-06-05,Product A,16,480
2023-06-05,Product B,26,910
2023-06-06,Product A,21,630
2023-06-06,Product B,22,770
2023-06-07,Product A,18,540
2023-06-07,Product B,26,910
2023-06-08,Product A,28,840
2023-06-08,Product B,19,665
2023-06-09,Product A,22,660
2023-06-09,Product B,20,700
2023-06-10,Product A,20,600
2023-06-10,Product B,28,980
2023-06-11,Product A,15,450
2023-06-11,Product B,20,700
2023-06-12,Product A,25,750
2023-06-12,Product B,28,980
2023-06-13,Product A,22,660
2023-06-13,Product B,23,805
2023-06-14,Product A,20,600
2023-06-14,Product B,18,630
2023-06-15,Product A,27,810
2023-06-15,Product B,16,560
2023-06-16,Product A,30,900
2023-06-16,Product B,22,770
2023-06-17,Product A,21,630
2023-06-17,Product B,29,1015
2023-06-18,Product A,26,780
2023-06-18,Product B,24,840
2023-06-19,Product A,22,660
2023-06-19,Product B,22,770
2023-06-20,Product A,15,450
2023-06-20,Product B,21,735
2023-06-21,Product A,27,810
2023-06-21,Product B,25,875
2023-06-22,Product A,23,690
2023-06-22,Product B,17,595
2023-06-23,Product A,23,690
2023-06-23,Product B,26,910
2023-06-24,Product A,27,810
2023-06-24,Product B,25,875
2023-06-25,Product A,15,450
2023-06-25,Product B,18,630
2023-06-26,Product A,23,690
2023-06-26,Product B,20,700
2023-06-27,Product A,23,690
2023-06-27,Product B,16,560
2023-06-28,Product A,18,540
2023-06-28,Product B,28,980
2023-06-29,Product A,26,780
2023-06-29,Product B,25,875
2023-06-30,Product A,28,840
2023-06-30,Product B,18,630
2023-07-01,Product A,27,810
2023-07-01,Product B,21,735
2023-07-02,Product A,23,690
2023-07-02,Product B,16,560
2023-07-03,Product A,28,840
2023-07-03,Product B,15,525
2023-07-04,Product A,21,630
2023-07-04,Product B,26,910
2023-07-05,Product A,28,840
2023-07-05,Product B,17,595
2023-07-06,Product A,25,750
2023-07-06,Product B,25,875
2023-07-07,Product A,18,540
2023-07-07,Product B,24,840
2023-07-08,Product A,24,720
2023-07-08,Product B,28,980
2023-07-09,Product A,25,750
2023-07-09,Product B,27,945
2023-07-10,Product A,24,720
2023-07-10,Product B,19,665
2023-07-11,Product A,21,630
2023-07-11,Product B,28,980
2023-07-12,Product A,27,810
2023-07-12,Product B,20,700
2023-07-13,Product A,24,720
2023-07-13,Product B,27,945
2023-07-14,Product A,15,450
2023-07-14,Product B,24,840
2023-07-15,Product A,24,720
2023-07-15,Product B,21,735
2023-07-16,Product A,28,840
2023-07-16,Product B,25,875
2023-07-17,Product A,29,870
2023-07-17,Product B,29,1015
2023-07-18,Product A,29,870
2023-07-18,Product B,21,735
2023-07-19,Product A,30,900
2023-07-19,Product B,20,700
2023-07-20,Product A,17,510
2023-07-20,Product B,24,840
2023-07-21,Product A,25,750
2023-07-21,Product B,17,595
2023-07-22,Product A,22,660
2023-07-22,Product B,24,840
2023-07-23,Product A,22,660
2023-07-23,Product B,21,735
2023-07-24,Product A,19,570
2023-07-24,Product B,15,525
2023-07-25,Product A,16,480
2023-07-25,Product B,22,770
2023-07-26,Product A,30,900
2023-07-26,Product B,17,595
2023-07-27,Product A,29,870
2023-07-27,Product B,28,980
2023-07-28,Product A,21,630
2023-07-28,Product B,27,945
2023-07-29,Product A,30,900
2023-07-29,Product B,27,945
2023-07-30,Product A,22,660
2023-07-30,Product B,19,665
2023-07-31,Product A,15,450
2023-07-31,Product B,18,630
2023-08-01,Product A,28,840
2023-08-01,Product B,22,770
2023-08-02,Product A,20,600
2023-08-02,Product B,29,1015
2023-08-03,Product A,16,480
2023-08-03,Product B,22,770
2023-08-04,Product A,18,540
2023-08-04,Product B,29,1015
2023-08-05,Product A,19,570
2023-08-05,Product B,29,1015
2023-08-06,Product A,25,750
2023-08-06,Product B,29,1015
2023-08-07,Product A,28,840
2023-08-07,Product B,29,1015
2023-08-08,Product A,20,600
2023-08-08,Product B,30,1050
2023-08-09,Product A,29,870
2023-08-09,Product B,23,805
2023-08-10,Product A,22,660
2023-08-10,Product B,23,805
2023-08-11,Product A,30,900
2023-08-11,Product B,22,770
2023-08-12,Product A,23,690
2023-08-12,Product B,29,1015
2023-08-13,Product A,17,510
2023-08-13,Product B,24,840
2023-08-14,Product A,22,660
2023-08-14,Product B,23,805
2023-08-15,Product A,25,750
2023-08-15,Product B,25,875
2023-08-16,Product A,17,510
2023-08-16,Product B,19,665
2023-08-17,Product A,19,570
2023-08-17,Product B,22,770
2023-08-18,Product A,27,810
2023-08-18,Product B,19,665
2023-08-19,Product A,21,630
2023-08-19,Product B,17,595
2023-08-20,Product A,28,840
2023-08-20,Product B,28,980
2023-08-21,Product A,25,750
2023-08-21,Product B,29,1015
2023-08-22,Product A,28,840
2023-08-22,Product B,16,560
2023-08-23,Product A,21,630
2023-08-23,Product B,28,980
2023-08-24,Product A,27,810
2023-08-24,Product B,15,525
2023-08-25,Product A,27,810
2023-08-25,Product B,30,1050
2023-08-26,Product A,15,450
2023-08-26,Product B,26,910
2023-08-27,Product A,24,720
2023-08-27,Product B,27,945
2023-08-28,Product A,28,840
2023-08-28,Product B,22,770
2023-08-29,Product A,30,900
2023-08-29,Product B,22,770
2023-08-30,Product A,23,690
2023-08-30,Product B,28,980
2023-08-31,Product A,30,900
2023-08-31,Product B,15,525
2023-09-01,Product A,27,810
2023-09-01,Product B,25,875
2023-09-02,Product A,27,810
2023-09-02,Product B,20,700
2023-09-03,Product A,29,870
2023-09-03,Product B,19,665
2023-09-04,Product A,15,450
2023-09-04,Product B,27,945
2023-09-05,Product A,15,450
2023-09-05,Product B,17,595
2023-09-06,Product A,28,840
2023-09-06,Product B,19,665
2023-09-07,Product A,29,870
2023-09-07,Product B,20,700
2023-09-08,Product A,16,480
2023-09-08,Product B,23,805
2023-09-09,Product A,27,810
2023-09-09,Product B,25,875
2023-09-10,Product A,21,630
2023-09-10,Product B,29,1015
2023-09-11,Product A,25,750
2023-09-11,Product B,25,875
2023-09-12,Product A,27,810
2023-09-12,Product B,23,805
2023-09-13,Product A,28,840
2023-09-13,Product B,23,805
2023-09-14,Product A,17,510
2023-09-14,Product B,30,1050
2023-09-15,Product A,15,450
2023-09-15,Product B,16,560
2023-09-16,Product A,26,780
2023-09-16,Product B,22,770
2023-09-17,Product A,17,510
2023-09-17,Product B,16,560
2023-09-18,Product A,15,450
2023-09-18,Product B,22,770
2023-09-19,Product A,21,630
2023-09-19,Product B,15,525
2023-09-20,Product A,19,570
2023-09-20,Product B,22,770
2023-09-21,Product A,19,570
2023-09-21,Product B,30,1050
2023-09-22,Product A,18,540
2023-09-22,Product B,21,735
2023-09-23,Product A,29,870
2023-09-23,Product B,23,805
2023-09-24,Product A,26,780
2023-09-24,Product B,20,700
2023-09-25,Product A,18,540
2023-09-25,Product B,20,700
2023-09-26,Product A,24,720
2023-09-26,Product B,18,630
2023-09-27,Product A,15,450
2023-09-27,Product B,24,840
2023-09-28,Product A,27,810
2023-09-28,Product B,27,945
2023-09-29,Product A,21,630
2023-09-29,Product B,17,595
2023-09-30,Product A,22,660
2023-09-30,Product B,18,630
2023-10-01,Product A,24,720
2023-10-01,Product B,18,630
2023-10-02,Product A,16,480
2023-10-02,Product B,26,910
2023-10-03,Product A,28,840
2023-10-03,Product B,26,910
2023-10-04,Product A,17,510
2023-10-04,Product B,25,875
2023-10-05,Product A,15,450
2023-10-05,Product B,28,980
2023-10-06,Product A,30,900
2023-10-06,Product B,18,630
2023-10-07,Product A,28,840
2023-10-07,Product B,26,910
2023-10-08,Product A,29,870
2023-10-08,Product B,19,665
2023-10-09,Product A,28,840
2023-10-09,Product B,20,700
2023-10-10,Product A,23,690
2023-10-10,Product B,30,1050
2023-10-11,Product A,29,870
2023-10-11,Product B,28,980
2023-10-12,Product A,23,690
2023-10-12,Product B,25,875
2023-10-13,Product A,22,660
2023-10-13,Product B,17,595
2023-10-14,Product A,23,690
2023-10-14,Product B,29,1015
2023-10-15,Product A,22,660
2023-10-15,Product B,29,1015
2023-10-16,Product A,27,810
2023-10-16,Product B,25,875
2023-10-17,Product A,15,450
2023-10-17,Product B,30,1050
2023-10-18,Product A,25,750
2023-10-18,Product B,20,700
2023-10-19,Product A,30,900
2023-10-19,Product B,21,735
2023-10-20,Product A,26,780
2023-10-20,Product B,23,805
2023-10-21,Product A,25,750
2023-10-21,Product B,23,805
2023-10-22,Product A,23,690
2023-10-22,Product B,15,525
2023-10-23,Product A,21,630
2023-10-23,Product B,17,595
2023-10-24,Product A,22,660
2023-10-24,Product B,28,980
2023-10-25,Product A,30,900
2023-10-25,Product B,22,770
2023-10-26,Product A,30,900
2023-10-26,Product B,30,1050
2023-10-27,Product A,29,870
2023-10-27,Product B,15,525
2023-10-28,Product A,17,510
2023-10-28,Product B,24,840
2023-10-29,Product A,22,660
2023-10-29,Product B,27,945
2023-10-30,Product A,22,660
2023-10-30,Product B,24,840
2023-10-31,Product A,26,780
2023-10-31,Product B,30,1050
2023-11-01,Product A,26,780
2023-11-01,Product B,28,980
2023-11-02,Product A,25,750
2023-11-02,Product B,26,910
2023-11-03,Product A,29,870
2023-11-03,Product B,23,805
2023-11-04,Product A,24,720
2023-11-04,Product B,23,805
2023-11-05,Product A,22,660
2023-11-05,Product B,18,630
2023-11-06,Product A,21,630
2023-11-06,Product B,25,875
2023-11-07,Product A,18,540
2023-11-07,Product B,20,700
2023-11-08,Product A,21,630
2023-11-08,Product B,21,735
2023-11-09,Product A,30,900
2023-11-09,Product B,23,805
2023-11-10,Product A,24,720
2023-11-10,Product B,18,630
2023-11-11,Product A,21,630
2023-11-11,Product B,24,840
2023-11-12,Product A,22,660
2023-11-12,Product B,26,910
2023-11-13,Product A,20,600
2023-11-13,Product B,24,840
2023-11-14,Product A,15,450
2023-11-14,Product B,19,665
2023-11-15,Product A,23,690
2023-11-15,Product B,16,560
2023-11-16,Product A,16,480
2023-11-16,Product B,24,840
2023-11-17,Product A,19,570
2023-11-17,Product B,30,1050
2023-11-18,Product A,18,540
2023-11-18,Product B,15,525
2023-11-19,Product A,24,720
2023-11-19,Product B,30,1050
2023-11-20,Product A,30,900
2023-11-20,Product B,29,1015
2023-11-21,Product A,25,750
2023-11-21,Product B,20,700
2023-11-22,Product A,16,480
2023-11-22,Product B,23,805
2023-11-23,Product A,30,900
2023-11-23,Product B,18,630
2023-11-24,Product A,17,510
2023-11-24,Product B,27,945
2023-11-25,Product A,30,900
2023-11-25,Product B,17,595
2023-11-26,Product A,16,480
2023-11-26,Product B,19,665
2023-11-27,Product A,19,570
2023-11-27,Product B,24,840
2023-11-28,Product A,17,510
2023-11-28,Product B,22,770
2023-11-29,Product A,18,540
2023-11-29,Product B,28,980
2023-11-30,Product A,22,660
2023-11-30,Product B,27,945
2023-12-01,Product A,29,870
2023-12-01,Product B,29,1015
2023-12-02,Product A,24,720
2023-12-02,Product B,28,980
2023-12-03,Product A,24,720
2023-12-03,Product B,16,560
2023-12-04,Product A,18,540
2023-12-04,Product B,21,735
2023-12-05,Product A,21,630
2023-12-05,Product B,23,805
2023-12-06,Product A,17,510
2023-12-06,Product B,20,700
2023-12-07,Product A,22,660
2023-12-07,Product B,20,700
2023-12-08,Product A,17,510
2023-12-08,Product B,20,700
2023-12-09,Product A,15,450
2023-12-09,Product B,28,980
2023-12-10,Product A,29,870
2023-12-10,Product B,30,1050
2023-12-11,Product A,24,720
2023-12-11,Product B,16,560
2023-12-12,Product A,22,660
2023-12-12,Product B,24,840
2023-12-13,Product A,24,720
2023-12-13,Product B,29,1015
2023-12-14,Product A,17,510
2023-12-14,Product B,22,770
2023-12-15,Product A,23,690
2023-12-15,Product B,21,735
2023-12-16,Product A,28,840
2023-12-16,Product B,18,630
2023-12-17,Product A,22,660
2023-12-17,Product B,19,665
2023-12-18,Product A,23,690
2023-12-18,Product B,19,665
2023-12-19,Product A,17,510
2023-12-19,Product B,16,560
2023-12-20,Product A,20,600
2023-12-20,Product B,24,840
2023-12-21,Product A,24,720
2023-12-21,Product B,29,1015
2023-12-22,Product A,18,540
2023-12-22,Product B,29,1015
2023-12-23,Product A,24,720
2023-12-23,Product B,27,945
2023-12-24,Product A,23,690
2023-12-24,Product B,30,1050
2023-12-25,Product A,29,870
2023-12-25,Product B,17,595
2023-12-26,Product A,16,480
2023-12-26,Product B,28,980
2023-12-27,Product A,25,750
2023-12-27,Product B,23,805
2023-12-28,Product A,15,450
2023-12-28,Product B,17,595
2023-12-29,Product A,22,660
2023-12-29,Product B,15,525
2023-12-30,Product A,23,690
2023-12-30,Product B,16,560
2023-12-31,Product A,20,600
2023-12-31,Product B,30,1050
